text	object	context	role	section	flag
This coincides with Arutaki and Chiba @@CITATION and Long et al. [10], as the propagation path is in the sea and the attenuation is very large.	@@CITATION 		B-subj	method	0
The results obtained in this paper agree with those results obtained hitherto for special cases as @@CITATION .	results 		B-subj	method	0
The intracell/intrapool handoff is exactly same as the spectrum decision proposed in @@CITATION, and hence out of scope in this paper.	spectrum  decision 		A-subj	unknown	0
It is reasonable to compare ESPVF with the current version of Xilinx Chipscope @@CITATION.	Xilinx  Chipscope 		A-subj	unknown	0
Gulrajani et al. @@CITATION proposed a different method which restricts the norm of the gradient of the discriminator.	method 	which  restricts  the  norm  of  the  gradient  of  the  discriminator	B-subj	unknown	1
5.3 Comparison with SACIA The proposed method was compared with SACIA @@CITATION, a prealignment method based on key-point matching, in the case of using four images.	SACIA 	a  prealignment  method based  on  key-point  matching	A-subj	unknown	0
"To do so we are using the same notation as in @@CITATION; systems are either implicitly specified using a system block, or built out of operators like until/corrects."	notation 		A-subj	unknown	0
The gas-burner is very similar to the one used in @@CITATION.	gas-burner 		A-subj	unknown	0
The steps of Algorithm 3 are reminiscent of the sequential processing in Kalman filter handling multiple measurements @@CITATION.	Kalman  filter 	handling  multiple  measurements  	A-subj	unknown	0
Our additive composition function can be regarded as an instantiation of the weighted addition strategy that performed well in a distributional compositional approach to derivational morphology (@@CITATION).	weighted  addition  strategy 	that  performed  well  in  a  distributional  compositional  approach  to  derivational  morphology 	A-subj	unknown	0
5.6.1 Comparison with State-of-the-art Algorithms In this section, FAS is compared with PLS [99] and NuMVC @@CITATION, both acknowledged as state-of-the-art algorithms for MVC in the literature.	NuMVC 	state-of-the-art  algorithms  for  MVC  in  the  literature	A-subj	unknown	0
For εe = 1%, we are 27 times faster than TCH (2.94ms @@CITATION).	TCH 	27  times  faster  than 	A-subj	unknown	0
Also, on the profile query we see the difference to the previous time-independent algorithm @@CITATION that only required one pass.	time-independent  algorithm 	only  required  one  pass	A-subj	unknown	1
For text data, the linear SVMs demonstrated superior text classification performance compared to other methods @@CITATION, and this motivated our use of them.	methods 	the  linear  SVMs  demonstrated  superior  text  classification  performance 	A-subj	unknown	1
3.2.3 Local offset matching (LOM) Here we propose a new method to overcome this drawback of PHM @@CITATION and obtain more reliable correspondences.	PHM 		A-subj	unknown	1
2.2 Impact of Candidate Selection, Prioritization and Coordination on Throughput To ensure the relay priority among the forwarding candidates, a MAC protocol similar to those proposed in @@CITATION is necessary.	MAC  protocol 	To  ensure  the  relay  priority  among  the  forwarding  candidates	A-subj	unknown	0
soft-output detector with a reasonable performance/complexity trade-off, and computational complexity that is lower than the receiver proposed in @@CITATION.	receiver 	computational  complexity 	A-subj	unknown	0
In phase 2 we compute the actual profiles using an approach similar to the systolic implementation of parallel prefix computation @@CITATION (see Figure 4).	parallel  prefix  computation 	systolic  implementation 	A-subj	unknown	0
Preparata and Vitter @@CITATION presented an algorithm with the same running time and claimed that their algorithm was simpler.	algorithm 	same  running  time 	B-subj	unknown	0
Same approach is used to solve the problem of meeting relative delay guarantees in @@CITATION.	meeting  relative  delay 		B-subj	unknown	0
With load flushing applied, the ICOUNT.1.8 result is 9% slower than the ICOUNT.2.8 result with four threads for the MIX experiments, a result that confirms those in @@CITATION.	ICOUNT	With  load  flushing  applied	A-subj	unknown	0
Our single frame optical flow model achieves an accuracy of 72.2% on split 1, similar to 73.9% reported by @@CITATION.	accuracy 	single  frame  optical  flow  model 	A-subj	unknown	0
11A similar analysis was done in @@CITATION, but there the stability criteria for steepest gradient descent were applied to the LMS algorithm.	analysis 	LMS  algorithm	A-subj	unknown	0
In Fig. 3, we compare the reconstructions and the maps from the proposed low rank and smoothness methods with the iterative approach @@CITATION and an approach we refer to as the direct method.	iterative  approach 	reconstructions  and  the  maps from  the  proposed  low  rank  and  smoothness  methods 	A-subj	unknown	0
Thus, its syntactic definition is similar to the concept of ‘Amplification’ @@CITATION, which in turn corresponds to our ρ in Lemma 2.	Amplification	syntactic  definition 	A-subj	unknown	0
B. Equalizer’s Effect on the PDF The EQ implemented in this receiver is a linear, split-path equalizer similar to that introduced in @@CITATION, which creates highfrequency peaking by decreasing low-frequency gain.	split-path  equalizer 	which  creates  highfrequency  peaking  by  decreasing  low-frequency  gain	A-subj	unknown	0
Hence, our observations are in accordance with the author’s recommended settings of τ = 1, µ = 10 @@CITATION.	recommended  settings 		A-subj	unknown	0
The M2BT approach in @@CITATION follows a similar way and performs additional M2SS over motion vectors found by 2BT.	M2BT  approach 	performs  additional  M2SS  over  motion  vectors found  by  2BT	B-subj	unknown	0
As seen in the results, our models outperform both the baseline and traditional convolutional layers for this task, as well as the challenge’s baseline @@CITATION.	challenge’s  baseline 	traditional  convolutional  layers 	A-subj	unknown	0
(7) and learn the fuzzy measure g. The evolutionary algorithm used in this paper is similar to the method used in @@CITATION.	method 	evolutionary  algorithm 	A-subj	unknown	0
Exertion Cards presented by Mueller follow a similar approach to supporting the design process @@CITATION.	approach 	approach  to  supporting  the  design  process 	A-subj	unknown	0
Thus, more sophisticated methods, than the NN method, can be employed, including probabilistic methods @@CITATION, neural network-based methods [28] and others.	probabilistic  methods 		A-subj	unknown	0
We use color-based segmentation and line-fitting in our work, and a number of authors have investigated similar approaches (e.g., [6], [8], @@CITATION).	approaches 	color-based  segmentation  and  line-fitting 	A-subj	unknown	0
Our colorization approach outperforms @@CITATION and [6], whose examples contain only few colors and lack spatial coherency.	 colorization  approach 	few  colors  and  lack  spatial  coherency	A-subj	unknown	1
Comparable results with Irony et al. on their own example@@CITATION.	results 		A-subj	unknown	0
(67) It can be readily verified that (67) and the problem in @@CITATION are identical.	problem 		A-subj	unknown	0
We use different sizes of extracted RC meshes from industrial applications and compare our hybrid algorithm with the method in @@CITATION and CORE [5].	method 	sizes of  extracted  RC  meshes from  industrial  applications 	A-subj	unknown	0
runtime compared with CORE, and is 18.3X faster than @@CITATION for model reduction time and 61.2X faster for simulation time.	CORE	for  model  reduction  time 	B-subj	unknown	0
This query now returns results, matching the user’s original intention by correcting the error in Q. The work in @@CITATION also considered applying ontology-based relaxation to the regular expressions Ri.	work 	ontology-based  relaxation  to  the  regular  expressions  Ri	B-subj	unknown	0
In work, we use common techniques reported in the literature, although there are other methods @@CITATION.	methods 	common  techniques 	B-subj	unknown	0
6.6 Comparison Results with Other Methods We compare our reconstruction results with recent methods using flexible voxel @@CITATION and P2C2 [6].	flexible  voxel 	reconstruction  results 	A-subj	unknown	0
This FLM seems performing better with lower false alarm rate (7%) as compared to the GLM based regression models (11.7%) developed by @@CITATION.	GLM  based  regression  models 	FLM 	A-subj	unknown	0
D. Experimental Setup The experimental setup is practically the same as in @@CITATION, [8].	experimental  setup 		A-subj	unknown	0
GPU representation Our sparse voxel octree is a very compact pointer-based structure, similar to @@CITATION.	sparse  voxel  octree 	pointer-based  structure	A-subj	unknown	0
Remark: Our conditional maximum likelihood estimators provide a source estimation that has an additional scaling factor as compared with the previous work of rumor centrality @@CITATION.	 work 	conditional  maximum  likelihood  estimators 	A-subj	unknown	0
The RE module of the alignment system will incorporate a dependency feature-based relation classifier, similar to the one proposed in @@CITATION.	 RE  module 	RE  module  of  the  alignment  system 	A-subj	unknown	0
2.3.6 List of Constructors The list of constructor view is similar to the underlying view of the RepLib Haskell library @@CITATION.	RepLib  Haskell  library 	list  of  constructor  view 	A-subj	unknown	0
The disproportionate sensitivity of stimulus-relative to rule-switching is markedly consistent with a recent observation from an fMRI study in which neurologically healthy participants were tested with the same task (@@CITATION).	disproportionate  sensitivity 	fMRI  study  in  which  neurologically  healthy  participants 	A-subj	unknown	0
• Our empirical study demonstrates that the incremental approach greatly outperforms k-dash @@CITATION, a batch algorithm that is reported as the best for RWR proximity computing, when networks are constantly updated.	k-dash 	a  batch  algorithm  that  is  reported  as  the  best  for  RWR  proximity  computing	A-subj	unknown	0
"While our basic idea of twolevel selection might appear similar to the coarseto-fine inference architectures (@@CITATION; Weiss and Taskar, 2010), the details differ significantly."	coarseto-fine  inference  architectures 	idea of  twolevel  selection 	A-subj	unknown	0
"The Heap and Objects results for the ported Java benchmarks are similar to those reported by others using different VMs [@@CITATION; Blackburn et al. 2006]."	VMs 	for  the  ported  Java  benchmarks 	A-subj	unknown	0
Ranking by a PageRank-like Algorithm The graph model shares a lot of similarities with the widely known and used PageRank algorithm @@CITATION.	graph  model 	graph  model 	A-subj	unknown	0
2We follow the same objective as that in @@CITATION, where the so-called spacebandwidth product defined in [13] is adopted as the performance metric in the setting of multi-hop CRNs.	objective 	the  performance  metric  in  the  setting  of  multi-hop  CRNs	A-subj	unknown	0
In relation with the studied problem, we can not ignore the study of (@@CITATION) which investigated a weighted form of the secretary problem (a special case of the optimal stopping problem).	study 	a  special  case  of  the  optimal  stopping  problem	B-subj	unknown	0
This creates a situation similar to plurality-$bribery introduced by Faliszewski et al. @@CITATION.	situation 	similar  to  plurality-$bribery 	A-subj	unknown	0
Our scheduling algorithm has lower latencies than the previous best approaches, Round Heuristic @@CITATION and Tree Based Algorithm [23] especially for such widespread network model as GTITM Transit–Stub.	Round  Heuristic 	for  such  widespread  network  model  as  GTITM  Transit–Stub.	A-subj	unknown	1
The task has similarities to a study by @@CITATION.	study 		A-subj	unknown	0
In this experiment, showing the information behind the wall using only motion parallax is difficult, and this result is in line with a study from @@CITATION.	study 		A-subj	unknown	0
It is similar to the object used by @@CITATION.	object 		B-subj	unknown	0
Frequency and orientation representations of Gabor filter are similar to those of human visual system @@CITATION.	human  visual  system 	of  human  visual  system 	A-subj	unknown	0
Experimental evaluations on a children speech dataset show that the best performing CNN model obtains a 95.5% tone classification accuracy, which is significantly higher when compared with previous models based on manually edited F0 @@CITATION.	models 	Experimental  evaluations  on  a  children  speech  dataset 	A-subj	unknown	0
In order to comparatively evaluate the effectiveness of the features generated by our method and the features used in the previous methods by Xu et al. @@CITATION, we experimented with the following models: 1.	method 	effectiveness of  the  features  generated features 	A-subj	unknown	0
Our first results compare pipeline muffling, a priori current ramping, and the current ramping scheme in @@CITATION.	ramping  scheme 	pipeline  muffling	A-subj	unknown	0
4.2 Comparing techniques In this section, we compare pipeline muffling, a priori current ramping, and the conventional ramping technique of @@CITATION for configurations which achieve the same reduction in inductive noise.	conventional  ramping  technique 	for  configurations  which  achieve  the  same  reduction  in  inductive  noise	A-subj	unknown	0
The performance of the IRSFNN is compared with that of recurrent models, including an RSONFIN @@CITATION, a TRFN [7], a WRFNN [11], and an RSEFNN-LF [14].	RSONFIN 	performance  of  the  IRSFNN 	A-subj	unknown	0
1E-mail: kaba@dis.titech.ac.jp 2A similar but different approach to an improved algorithm can be found in @@CITATION.	algorithm 		A-subj	unknown	1
It successfully coordinates multiple radios in utilizing the same channel pool and providing improved per-radio throughput by leveraging the multiradio diversity compared with previous research work such as OAR@@CITATION and MOAR[3].	OAR	It  successfully  coordinates  multiple  radios  in  utilizing  the  same  channel  pool  and  providing  improved  per-radio  throughput 	B-subj	unknown	0
In this section, we compare our results to the numerical observations of Luse and Zangwill @@CITATION.	observations 		A-subj	unknown	0
Our framework is expressive enough to express the important ideas of previous timed automata frameworks, including @@CITATION.	automata  frameworks	framework 	A-subj	unknown	0
The definition above differs from previous definitions of timed automata @@CITATION in two major respects.	definitions 		A-subj	unknown	1
The difference between EAD and anisotropic diffusion as defined by Weickert @@CITATION is that EAD models a non-symmetric tensor in addition to the standard diffusion tensor.	anisotropic  diffusion 		B-subj	unknown	0
The form of our signature is similar to BLS signature @@CITATION, which is a short signature in the random oracle model.	BLS  signature 	which  is  a  short  signature  in  the  random  oracle  model	A-subj	unknown	0
To record the entire policy of decisions we would need to store a shorthand form of the entire search tree (including nested search trees) analogous to the approach used in QCOP+ @@CITATION.	QCOP+ 	To  record  the  entire  policy  of  decisions 	A-subj	unknown	0
We compare against QeCode 2.0 @@CITATION, which is a state of the art QCOP+ solver, on the problems that it supports.	QeCode  2.0 	which  is  a  state  of  the  art  QCOP+  solver	A-subj	unknown	0
Although, the usual multi-index notation used in @@CITATION, [25], [26] is more elegant, it is difficult to manipulate non unity covariances Σ 6= I with it.	multi-index  notation 	it  is  difficult  to  manipulate  non  unity  covariances  Σ  6=  I  with  it	B-subj	unknown	0
