text	object	context	role	section	flag
Datasets and Masks We evaluate our method on three dataset: the CelebFaces Attributes Dataset (CelebA) [23], the Street View House Numbers (SVHN) [29] and the Stanford Cars Dataset @@CITATION.	 Stanford  Cars  Dataset  		A-subj	evaluation	1
We evaluate our method on three datasets: CelebA @@CITATION, SVHN [29] and Stanford Cars [17], with different forms of missing regions.	CelebA 		A-subj	related work	1
Datasets and Masks We evaluate our method on three dataset: the CelebFaces Attributes Dataset (CelebA) @@CITATION, the Street View House Numbers (SVHN) [29] and the Stanford Cars Dataset [17].	CelebFaces  Attributes  Dataset  (CelebA) 		A-subj	evaluation	1
Google’s DeepDream uses backpropagation to create dreamlike images @@CITATION.	backpropagation 		B-subj	related work	0
We evaluate our method on three datasets: CelebA [23], SVHN @@CITATION and Stanford Cars [17], with different forms of missing regions.	SVHN 		A-subj	related work	1
Datasets and Masks We evaluate our method on three dataset: the CelebFaces Attributes Dataset (CelebA) [23], the Street View House Numbers (SVHN) @@CITATION and the Stanford Cars Dataset [17].	Street  View  House  Numbers  (SVHN)  		A-subj	evaluation	1
Poisson blending @@CITATION is used to reconstruct our final results.	Poisson  blending 		A-subj	method	0
We propose to use knowledge compilation (@@CITATION) to first compile the structure into an Arithmetic Circuit (AC) and, next, evaluate the obtained circuit multiple times to compute the messages.	 knowledge  compilation 		A-subj	abstract	0
To determine the orientation parameters the space resection method is used rather than the bundle adjustment which was used in @@CITATION.	 bundle  adjustment 		B-subj	abstract	0
In the previous study @@CITATION which used solely correlation matching without least square matching, the root mean square error was 0.21 mm (@@CITATION p.	correlation  matching  without  least  square  matching		B-subj	keywords	0
The backbone flexibility is modeled by the first 50 normal modes using Fiberdock @@CITATION.	Fiberdock 		A-subj	method	0
Finally, binding energy scores are found using CHARMM52 force field @@CITATION.	CHARMM52 force  field 		A-subj	method	0
PREDICTING AND MODELING PROTEIN–PROTEIN INTERACTIONS Surface residues of the target proteins are extracted using the relative accessible surface area values (calculated by NACCESS @@CITATION).	NACCESS 		A-subj	method	0
PRISM searches whether complementary sides of a template interface are structurally similar to any region on the surface of target structures using the MultiProt structural comparison engine @@CITATION.	MultiProt  structural  comparison  engine 		A-subj	method	0
These two methods were converted to global methods, using the idea of entropy, in @@CITATION.	entropy		A-subj	keywords	0
Entropy was used for discretization applied to ranking data @@CITATION.	Entropy 		A-subj	abstract	0
Experiments were conducted using the MLEM2 (modified learning from examples module, Version 2) rule induction algorithm @@CITATION and the LERS classification system.	MLEM2 		A-subj	abstract	0
The SIFT algorithm is used for feature extraction and the matching scheme proposed by Kepenekci (@@CITATION) is used for face comparison.	SIFT  algorithm 		A-subj	introduction	0
We use the well-known approach of the Kalman filter @@CITATION.	Kalman  filter 		A-subj	method	0
In @@CITATION, Radix5 recoding was combined with BCD code converters using BCD4221 and BCD5211 codes to simplify the partial product generation and reduction.	BCD4221  and  BCD5211  codes 		B-subj	method	0
The Quasi-Minimal Residual (QMR) method, @@CITATION, is used to solve the resulting large-scale linear systems.	 Quasi-Minimal  Residual  (QMR)  method	 to  solve  the  resulting  large-scale  linear  systems	A-subj	keywords	0
Here we use the QMR iteration, @@CITATION.	QMR  iteration		A-subj	unknown	0
TIME-VARYING NATURE OF AGGREGATED VIDEO TRAFFIC To represent traffic arrival process, we use video traffic traces available from the University of Berlin @@CITATION.	video  traffic  traces 		A-subj	method	1
However, we used the method proposed by Garland and Heckbert @@CITATION, which is based on edge collapse, plus a merging process to form surface patches.	method 		A-subj	method	0
The first step is the visual feature detection on the monochromatic image using SURF @@CITATION.	SURF 		A-subj	method	0
Resources along a computed TE path are reserved during label distribution, using protocols such as ConstraintBased Routing Label Distribution Protocol (CR-LDP) and Resource Reservation Protocol with TE (RSVP-TE) @@CITATION.	Resource  Reservation  Protocol  with  TE  (RSVP-TE) 		A-subj	introduction	0
The vector was computed using the forward-backward least-squares technique from traditional AR signal analysis @@CITATION.	forward-backward  least-squares  technique 		A-subj	method	0
Also, by employing multi-tags @@CITATION, we reduce the uncertainties when inferring the position of onboard tags.	multi-tags 		A-subj	method	0
We have built 33 such platforms, and each tag on the platform was calibrated separately using the techniques described by Chawla, Robins, and Zhang @@CITATION.	techniques 		A-subj	method	0
Event-B and the Rodin Platform We have used the Event-B modelling formalism @@CITATION and the Rodin [5] tools platform.	Event-B  modelling  formalism 		A-subj	method	0
Event-B and the Rodin Platform We have used the Event-B modelling formalism [4] and the Rodin @@CITATION tools platform.	Rodin 		A-subj	method	0
The proposed implementation is tested on the color FERET @@CITATION and the Adience CIT data collections ( see Fig . I for an impression ) .	 color  FERET 		A-subj	method	1
We use Holojam @@CITATION, a system that allows for low-latency data streaming to multiple clients in Samsung GearVR headsets in order to create a nomadic VR application for viewing the network graphs.	Holojam 	a  system  that  allows  for  low-latency  data  streaming 	A-subj	abstract	0
We use the exemplar proposed for agent-oriented software development methodologies @@CITATION that is based on the Guardian Angel Project [10].	exemplar 	for  agent-oriented  software  development  methodologies 	A-subj	keywords	0
The Brasov pollution dataset @@CITATION consists of the pollution measurements (e.g., air quality index) in Brasov, Romania from August 2014 to October 2014.	Brasov  pollution  dataset 	pollution  measurements 	A-subj	unknown	1
Using Lemma 2.2 in @@CITATION, we can conclude that the following holds in our situation.	Lemma  2.2 		A-subj	unknown	0
The shading model developed by Phong @@CITATION is utilised.	shading  model 		A-subj	unknown	0
A. Histogram Test Methodology The conventional histogram method @@CITATION, [4] is used to measure the DNL and INL specifications of an A/D converter.	histogram  method 	to  measure  the  DNL  and  INL  specifications  of  an  A/D  converter	A-subj	unknown	0
In [20,21], Incremental SAT @@CITATION is used to speed up test generation for PDFs.	Incremental  SAT 	to  speed  up  test  generation  for  PDFs	A-subj	unknown	0
As SAT solver, MiniSat v1.14 @@CITATION is used.	MiniSat 	As  SAT  solver	A-subj	unknown	0
(1) Reweighting the random walk to converge to Brownian motion: We define weights using the estimators p and Îµ for p(x) and Îµ(x) from @@CITATION.	estimators 		A-subj	unknown	0
V. Proof of Lemma 1 First, we recall a well-known result (see, e.g., @@CITATION) that will be useful to prove Lemma 1.	result 		A-subj	unknown	1
Like [9] we use layer normalization @@CITATION in the discriminator.	layer  normalization 	 in  the  discriminator	A-subj	unknown	0
Magnifying Lens and Fish-eye â€“ The magnifying lens @@CITATION and geometrical fish-eye [7] were also added to the system as basic interactors.	magnifying  lens 	as  basic  interactors	A-subj	unknown	0
Knowing , in the second stage of our solution, we estimate 4 and the coordinates using the procedure of Smith and Abel @@CITATION.	procedure 		A-subj	unknown	0
Data requiring low signal latency will be sent between the vehicles in the dedicated frequency band, 5.9 GHz, using the wireless communication standard IEEE 802.11p @@CITATION.	IEEE  802.11p 	wireless  communication  standard 	A-subj	unknown	0
Updating the regularization parameter When the multi-output model refinement procedure is completed, the regularization parameters can be optimized by the Bayesian evidence procedure @@CITATION, [20].	Bayesian  evidence  procedure 	When  the  multi-output  model  refinement  procedure  is  completed,  the  regularization  parameters  can  be  optimized  by 	A-subj	unknown	0
Akaikeâ€™s information criterion (AIC) @@CITATION was used as the termination criteria for the MFRA and MOLS again.	Akaikeâ€™s  information  criterion 	used as  the  termination  criteria  for  the  MFRA  and  MOLS 	A-subj	unknown	0
3.1 The Notation Used in Properties The notation used to denote individual properties is essentially that developed by Mahony and Hayes [5] and used in @@CITATION.	notation 	used  to  denote  individual  properties 	A-subj	unknown	0
Luminance subtraction stage We used the Laplacian pyramid @@CITATION to implement luminance subtraction.	Laplacian  pyramid 	to  implement  luminance  subtraction	A-subj	unknown	0
We will work specifically with Linear Logic @@CITATION.	Linear  Logic 		A-subj	unknown	0
Since XML11 is an XML-based protocol, we have decided to use SOAP messages (see @@CITATION) for remote method invocations.	SOAP 	for  remote  method  invocations	A-subj	unknown	0
"6 Initial Estimates To find the solution of any of the above nonlinear least-squares problems, an iterative technique is used; in practice we use the Levenberg-Marquardt method (see @@CITATION)."	Levenberg-Marquardt  method 	nonlinear  least-squares  problems	A-subj	unknown	0
Our move selection scheme is from @@CITATION, which modulates which moves are chosen to best advance the solution at each temperature.	move  selection  scheme 	which  modulates  which  moves  are  chosen 	A-subj	unknown	0
Post-layout interconnect delays were determined using the RICE @@CITATION AWE-based delay evaluation tool.	RICE 	Post-layout  interconnect  delays  were  determined  using 	A-subj	unknown	0
Genetically anchored physical map and transcript map data The genetically anchored physical map for peach is under development using peach BAC libraries @@CITATION.	BAC  libraries 	 genetically  anchored  physical  map  for  peach 	A-subj	unknown	0
It is being constructed using an approach that employs a combination of hybridization of mapped markers and BAC fingerprinting @@CITATION.	approach 		A-subj	unknown	0
The SCR library @@CITATION uses this approach.	approach	SCR  library 	B-subj	unknown	0
CacheAudit performs a reachability analysis using abstract interpretation @@CITATION.	abstract  interpretation 	reachability  analysis 	B-subj	unknown	0
This cache configuration is, e.g., used in the first level cache of the Intel Skylake architecture @@CITATION.	cache  configuration 	in  the  first  level  cache  of  the  Intel  Skylake  architecture 	B-subj	unknown	0
Choose the next pixel xk (using alternating raster scans @@CITATION) and go back to 2.	alternating  raster  scans 	Choose  the  next  pixel 	A-subj	unknown	0
We used CPLEX 12.6 @@CITATION to solve the ILPs.	CPLEX 	to  solve  the  ILP	A-subj	unknown	0
Then Chen et al. @@CITATION incorporated the sample-path-based method with novel clustering and localization techniques to detect multiple sources in networks.	sample-path-based  method 	with  novel  clustering  and  localization  techniques  to  detect  multiple  sources  in  networks	B-subj	unknown	0
The Adult/Adolescent Sensory Profile (AASP) Questionnaire @@CITATION was used to determine the sensory profile of each participant.	Adult/Adolescent  Sensory  Profile 	to  determine  the  sensory  profile  of  each  participant	A-subj	unknown	1
For M3Ns, we use Structured Sequential Minimal Optimization (@@CITATION) for model training.	Structured  Sequential  Minimal  Optimization 	for  model  training	A-subj	unknown	0
The distance values are used to select the appropriate child node (LOD model) to use depending upon the object's distance from the viewpoint (@@CITATION).	distance  values 	to  select  the  appropriate  child  node  (LOD  model)  to  use  depending  upon  the  object's  distance  from  the  viewpoint 	A-subj	unknown	0
We can further use Dirichlet distribution to model workers reliability as in @@CITATION.	Dirichlet  distribution 	to  model  workers  reliability 	A-subj	unknown	0
"Figures were generated with the MRIcro software package (@@CITATION; www.sph.sc.edu/comd/rorden/mricro.html) using procedures described in Brett, Leff, Rorden, and Ashburner (2001)."	MRIcro  software 		A-subj	unknown	1
Those values are obtained by synthesizing Verilog HDL descriptions using Xilinx ISE ServicePack [7] and Vertex-II pro @@CITATION.	Vertex-II  pro 	by  synthesizing  Verilog  HDL  descriptions 	A-subj	unknown	0
Subtraction profiling was performed as described previously [44,45] using the CDS test @@CITATION.	CDS  test 	Subtraction  profiling 	B-subj	unknown	0
Suitability of the individual nodes of the models was assessed by automatic relevance detection @@CITATION.	automatic  relevance  detection 	Suitability  of  the  individual  nodes  of  the  model	A-subj	unknown	0
: We used three different data sets: Reuters [26], Spambase, and the Malicious URLs @@CITATION data sets, which were obtained from the UCI database repository [27].	Malicious  URLs 	obtained  from  the  UCI  database  repository 	A-subj	unknown	1
A. The Adaline Perceptron We consider here the Adaline perceptron @@CITATION that arguably has one of the simplest update rules due to its linear activation function.	Adaline  perceptron 	one  of  the  simplest  update  rules 	A-subj	unknown	0
We used Histograms of Oriented Gradient (HOG) feature descriptors @@CITATION and a linear SVM classifier [27].	Histograms  of  Oriented  Gradient 	feature  descriptors 	A-subj	unknown	0
The male and female speech signals are taken from dev2 dataset of the SiSEC'08 â€œunderdetermined speech and music mixturesâ€ task @@CITATION.	dev2  dataset 	of  the  SiSEC'08  â€underdetermined  speech  and  music  mixturesâ€  task  	B-subj	unknown	1
2.1 Corporate Strategy For the corporate strategy category we rely on the well-known framework of the Balanced Scorecard @@CITATION.	Balanced  Scorecard 	 For  the  corporate  strategy  category 	A-subj	unknown	0
(1) For the precomputing (lines 1â€“5), a heuristic algorithm in @@CITATION is leveraged for finding bicliques in G, which requires O(|E |log(|V|+ |W|)) time.	heuristic  algorithm 	leveraged  for  finding  bicliques  in  G	A-subj	unknown	0
Fogaras et al. @@CITATION adopted a scalable Monte Carlo sampling approach to estimate SimRank by using the first meeting time of two random surfers.	Monte  Carlo  sampling  approach 	to  estimate  SimRank  by  using  the  first  meeting  time  of  two  random  surfers	B-subj	unknown	0
We produce the sequence of graphs following the linkage generation model @@CITATION.	linkage  generation  model 	sequence  of  graphs 	A-subj	unknown	0
Later, Lizorkin et al. @@CITATION utilized the partial sums memoization to Chapter 3.	partial  sums  memoization 		B-subj	unknown	0
We can use different partitioning policies in HoVerCut, e.g., Greedy @@CITATION or HDRF [12].	Greedy 	different  partitioning  policies  in  HoVerCut	A-subj	unknown	0
A. Partitioning Policy We can use any vertex-cut partitioning heuristics in HoVerCut, e.g., DBH [13], PowerGraph Greedy @@CITATION, or HDRF [12].	PowerGraph  Greedy 	vertex-cut  partitioning  heuristics  in  HoVerCut	A-subj	unknown	0
Ja-be-Ja @@CITATION, [29] is a fully distributed algorithm that uses local search and simulated annealing techniques [30] for graph partitioning.	local  search  and  simulated  annealing  techniques 	for  graph  partitioning	B-subj	unknown	0
For learning rate optimization we use Adam optimizer (@@CITATION) with initial learning rate 0.001.	Adam  optimizer 	with  initial  learning  rate  0.001	A-subj	unknown	0
To combine the two models, we merged Viterbi search @@CITATION in both the HMM and the CRF using a weighted combination.	Viterbi  search 	both  the  HMM  and  the  CRF  using  a  weighted  combination	A-subj	unknown	0
In TensorFlow, the NVIDIA CuDNN-optimized LSTM was used (@@CITATION).	NVIDIA  CuDNN-optimized  LSTM 	In  TensorFlow	A-subj	unknown	0
We answer this question using the notion of asymptotically level stable functions introduced by Auslender @@CITATION in 2000.	asymptotically  level  stable  functions 		A-subj	unknown	0
The stereo acuity of the current system was determined using HowardDolman test (@@CITATION).	HowardDolman  test 	The  stereo  acuity  of  the  current  system 	A-subj	unknown	0
We have developed a number of communication strategies that use the high-level view of node and network activity to guide a node in making these decisions @@CITATION.	high-level  view  of  node  and  network  activity 	to  guide  a  node  in  making  these  decisions 	B-subj	unknown	0
Three discriminative methods, Cascaded Adaboost with Haar features [24], SVM with HOG features @@CITATION, and PBT with filter bank [22] are performed for comparison.	SVM 	with  HOG  features 	A-subj	unknown	0
The experiment data come from two public datasets: LHI database @@CITATION and PASCAL VOC 2008.	LHI  database 		A-subj	unknown	1
We use the CASIA Infrared Night Gait Dataset @@CITATION to facilitate this research.	CASIA  Infrared  Night  Gait  Dataset 		A-subj	unknown	1
The model is optimized for its hyper-parameters by a randomized grid search method @@CITATION.	randomized  grid  search  method 		A-subj	unknown	0
The feature we use to represent the image content is the PHOG (Pyramid Histogram of Oriented Gradients) feature @@CITATION.	PHOG  (Pyramid  Histogram  of  Oriented  Gradients)  feature 	use  to  represent  the  image  content 	A-subj	unknown	0
Pretraining Sound Features After the waveforms are preprocessed into MFCC vectors, we use denoising autoencoders @@CITATION to learn K features kernels.	denoising  autoencoders 	to  learn  K  features  kernels	A-subj	unknown	0
The Shanghai region data from the Regional Accented Speech Corpus (RASC863) @@CITATION is used in the evaluation.	Regional  Accented  Speech  Corpus  (RASC863) 	Shanghai  region  data 	A-subj	unknown	1
Ryant et al. @@CITATION use a DNN for frame-level 5-tone classification and a single-layer neural network at segment (syllable) level.	DNN 	for  frame-level  5-tone  classification 	B-subj	unknown	0
The other approach of recurrent FNNs @@CITATIONâ€“[14] uses feedback loops from internal state variables as its recurrence structure.	feedback  loops 	approach  of  recurrent  FNNs 	B-subj	unknown	0
Determinize the given specification S by the use of subset construction @@CITATION and denote Sdet = (Sdet, {s0}, I, O, detS h ) the obtained deterministic IOA.	subset  construction 	Determinize  the  given  specification  S 	A-subj	unknown	0
x is substituted using a quadrature formula (for details see @@CITATION).	quadrature  formula 		B-subj	unknown	0
Here we use an approach from Xie @@CITATION to achieve this goal.	approach 		A-subj	unknown	0
We therefore used a non-parametric Wilcoxon Rank Sum test @@CITATION to analyze these data.	Wilcoxon  Rank  Sum  test 	to  analyze  these  data	A-subj	unknown	0
In Figure 4 we show several panels representing the 3D OpenGL (@@CITATION) interface used to visualize the estimated fiber pattern in the context of the brain anatomy.	3D  OpenGL 	interface  used  to  visualize  the  estimated  fiber  pattern  in  the  context  of  the  brain  anatomy	A-subj	unknown	0
For directional clustering estimation, we consider a mixture of k von Mises-Fisher (vMF) distributions (@@CITATION) that serves as a model for directional ODF profile data, corresponding to multiple fiber orientations.	k  von  Mises-Fisher  (vMF)  distributions 	as  a  model  for  directional  ODF  profile  data	A-subj	unknown	0
