text	object	context	role	section
4.2 Reachability Verification of CDSs We extend our earlier work for safety @@CITATION, by considering reachability.	work 	4.2  Reachability  Verification  of  CDSs  by  considering  reachability	A-subj	unknown
4 Software framework We build on the work of Markosian et al. @@CITATION.	work 		A-subj	unknown
McKenzie et al. @@CITATION present a global vector field clustering method as an extension to Du and Wangâ€™s previous work [16].	work 		B-subj	unknown
7 2.3 Extended Causal Models Following our earlier work (@@CITATION), we formalize normality using extended causal models.	work 	Extended  Causal  Models 	A-subj	unknown
MUSIKA is based on our previous work @@CITATION.	work 		A-subj	unknown
1.3 Previous Work In a followup to his original work @@CITATION, Jon Kleinberg motivated why the necessary distribution for navigability might arise in nature by means of â€œgroup membershipsâ€.	work 	distribution  for  navigability 	B-subj	unknown
RoLL The Robot Learning Language RoLL @@CITATION is an extension to RPL that augments it with capabilities for data acquisition, learning and seamless integration of learned functions into RPL control programs.	RPL 	that  augments  it  with  capabilities  for  data  acquisition,  learning  and  seamless  integration  of  learned  functions  into  RPL  control  programs	B-subj	unknown
â€¢ TrustRank @@CITATION was proposed to detect web spams, and we adapt it for spammer detection in a microblogging site.	TrustRank 	for  spammer  detection  in  a  microblogging  site	A-subj	unknown
Remy @@CITATION used an extension of ML with both universally and existentially quantified datatype components to model aspects of object-oriented languages, but did not discuss type inference.	ML 	with  both  universally  and  existentially  quantified  datatype  components  to  model  aspects  of  object-oriented  languages	B-subj	unknown
(2) To find the coefficients {Î²k}ck=1 and the shared SVs z, we extend our recent work in @@CITATION to the multiclass case.	work 	to  the  multiclass  case	A-subj	unknown
The DPC scheme expands and improves upon the distributed power management framework we developed earlier @@CITATION.	distributed  power  management  framework 		A-subj	unknown
For a notion of material texturedness we build on the work of @@CITATION in which it is shown that a weibull parameterization of images results in textural diversification.	work 	weibull  parameterization  of  images 	A-subj	unknown
Zvi GallI @@CITATION presented a new version of the modified 8M algorithm and, by using the Guibas and Odlyzko result, showed a 14n character comparison worst case runningtime for his algorithm.	8M  algorithm 	by  using  the  Guibas  and  Odlyzko  result	A-subj	unknown
We made small changes to Blackscholes, Canneal and Swaptions benchmark programs as explained in our prior work [@@CITATIONa].	Blackscholes,  Canneal  and  Swaptions  benchmark  programs 		A-subj	unknown
Tree-LSTM is a recent approach, which is an extension of the simple LSTM framework (@@CITATION).	LSTM  framework 		A-subj	unknown
Entanglement Measures We build on the previous work of three entanglement measures proposed by Renoust et al. @@CITATION.	entanglement  measures 	ù	A-subj	unknown
The enriched finite element method We start generalizing the derivation carried out in @@CITATION.	derivation 		A-subj	unknown
Our chosen scope follows prior industry work @@CITATION, which is important in two respects.	industry  work 		A-subj	unknown
(18) This follows by combining a theorem of A. Abrams @@CITATION (stating that COLLISION FREE MOTION PLANNING ON GRAPHS 13 Figure 2.	theorem 	COLLISION  FREE  MOTION  PLANNING  ON  GRAPHS 	A-subj	unknown
(5c) This modification method is also suitable for our previous MRT models@@CITATION.	MRT  models		A-subj	unknown
B. The 2-step Capturing Strategy The 2-step capturing strategy is based on the idea in our former work @@CITATION.	work 		A-subj	unknown
4.2.2 Hardware Approaches This proposed work is an extension of our prior work described in @@CITATION.	work 	Hardware  Approaches 	A-subj	unknown
The thinkaloud protocol employed in the experiment was based on the coaching approach described by Olmsted-Hawala et al. @@CITATION.	coaching  approach 	thinkaloud  protocol 	A-subj	unknown
The iCircles tool is an implementation of the method, presented in @@CITATION, of inductively drawing Euler diagrams using circles.	method	of  inductively  drawing  Euler  diagrams using  circles	A-subj	unknown
Both algorithms are defined by using some auxiliary notions from previous works @@CITATION.	works 		A-subj	unknown
Our objective is to develop some of the ideas presented in the seminal paper @@CITATION.	ideas 		A-subj	unknown
Our PMS component is inspired in a process investigated in [@@CITATION] which demonstrated to be quite effective in this specific task for collections in the computer science field.	process 	for  collections  in  the  computer  science  field	A-subj	unknown
Methods Our Brownian dynamics (BD) model extends our previous work in which we investigated the morphology of polymerized and crosslinked actin networks @@CITATION.	work 	 morphology  of  polymerized  and  crosslinked  actin  networks 	A-subj	unknown
Arnout's [1] research on object-oriented pattern components inspired our proceeding, which is e.g. described in @@CITATION.	proceeding	object-oriented  pattern  components 	A-subj	unknown
VIOLA-JONES RAPID OBJECT DETECTION The rapid object detection method presented in @@CITATION forms the basis of the face and facial feature detection approach considered in this work.	object  detection  method 	of  the  face  and  facial  feature  detection approach 	A-subj	unknown
âˆ—This paper is an extended version of preliminary results @@CITATION.	results 		A-subj	unknown
While a prior study @@CITATION examines the impact of early retention loss over only the first 5 minutes after data is written, we examine the impact of early retention loss over the course of 24 days.	retention  loss 	over  only  the  first  5  minutes  after  data  is  written	A-subj	unknown
Our personal favorite is based on so-called eigenfaces, conceptually a simple idea going back to Sirovich and Kirby @@CITATION.	eigenfaces		A-subj	unknown
Setup The experiments undertaken were a variant of those employed by Hu and Atkins @@CITATION to assess the order of accuracy associated with dispersion and dissipation properties of a DG scheme.	experiments 	to  assess  the  order  of  accuracy  associated  with  dispersion  and  dissipation  properties 	A-subj	unknown
The worked example is adapted from previous work @@CITATION.	work 		A-subj	unknown
2 Context and related work This work is a successor to the authorâ€™s earlier work @@CITATION on demixing with ð‘› = 2 components in the fully observed ð‘š = ð‘‘ setting.	demixing 		A-subj	unknown
The accelerator is built upon our previous work already published in @@CITATION and [11] but now with further performance and algorithmic improvements.	work 	with  further  performance  and  algorithmic  improvements	A-subj	unknown
We improve on our recently reported conversational speech recognition system @@CITATION by about 0.4%, and now exceed human performance by a small margin.	conversational  speech  recognition  system 	now  exceed  human  performance  by  a  small  margin	A-subj	unknown
MAC Protocol for Scheduling Concurrent Transmissions In this section, we describe an extension of the location-assisted MAC protocol presented in our prior work @@CITATION, for scheduling concurrent transmissions under log-normal shadowing channels.	location-assisted  MAC  protocol 	for  scheduling  concurrent  transmissions  under  log-normal  shadowing  channels	A-subj	unknown
Model We extend our previously proposed model of recurrent visual motion processing (@@CITATION), which is able to solve the aperture problem in the absence of object occlusions in a temporal sequence of images.	recurrent  visual  motion  processing 	able  to  solve  the  aperture  problem  in  the  absence  of  object  occlusions  in  a  temporal  sequence  of  images	A-subj	unknown
These orthogonal codes can be considered as a generalization of Alamouti transmission scheme @@CITATION for an arbitrary number of transmit antennas.	Alamouti  transmission  scheme 	for  an  arbitrary  number  of  transmit  antennas	A-subj	unknown
19 This is a generalization of use of vector coding presented in @@CITATION for the case of SISO frequency-selective channels.	 vector  coding 	for  the  case  of  SISO  frequency-selective  channels	A-subj	unknown
2 Approach The presented system in this paper is based on the idea we presented in (@@CITATION).	idea 		A-subj	unknown
2 The MIVE System The MIVE (Multi-user Intuitive Virtual Environment) system extends the work done in @@CITATION by improving the way existing constraints behave, and adding new types of constraints.	work 	by  improving  the  way  existing  constraints  behave,  and  adding  new  types  of  constraints	A-subj	unknown
It is based on a method developed by Walley @@CITATION, where an upper-lower probability model is derived from any second-order possibility measure, by using natural extension techniques.	method 	an  upper-lower  probability  model  is  derived  from  any  second-order  possibility  measure,  by  using  natural  extension  techniques.	A-subj	unknown
The tracking algorithm follows a strategy inspired by a recently introduced finger tracking algorithm @@CITATION, with extensions here to identify the larger hand features and segment the two hands.	finger  tracking  algorithm 	with  extensions  here  to  identify  the  larger  hand  features  and  segment  the  two  hands	A-subj	unknown
â—¦ Remark 3 The approach given here can be easily seen as a generalization of the construction in @@CITATION.	construction 	generalization 	A-subj	unknown
The mechanism we devised is loosely based on the work of Castano et al. @@CITATION.	work 		A-subj	unknown
We build on the work of @@CITATION by deriving theoretical properties and developing a bootstrap method for constructing confidence bands for the SVM ROC curve.	work 	by  deriving  theoretical  properties  and  developing  a  bootstrap  method  for  constructing  confidence  bands  for  the  SVM  ROC  curve	A-subj	unknown
This additional contribution is based on our prior research on SRAM, RRAM and nvSRAM bit cells @@CITATION[9].	research 	on  SRAM,  RRAM  and  nvSRAM  bit  cells 	A-subj	unknown
It extends the functionality of the controller introduced in @@CITATION, by automatically adapting its reference trajectory to comply with rigid environments, and to maintain a desired interaction force.	controller 	 by  automatically  adapting  its  reference  trajectory  to  comply  with  rigid  environments,  and  to  maintain  a  desired  interaction  force	A-subj	unknown
In our model we used multi-dimensional fairness inspired by work report in @@CITATION and formulate it in the form of an integer programming framework to solve the WDP and resource allocation problem.	work 	integer  programming  framework  to  solve  the  WDP  and  resource  allocation  problem	A-subj	unknown
3) Inspired by approaches for geometric outlier filtering @@CITATION, [44], we develop an efficient geometric verification step that can be used to integrate potential pose priors.	geometric  outlier  filtering 	efficient  geometric  verification  step  that  can  be  used  to  integrate  potential  pose  priors	A-subj	unknown
â€¢ An extension of the simulation model described in @@CITATION so that it can be automatically built from the application data and the topology of a station.	simulation  model 		B-subj	unknown
Our Contributions This article is an extended and revised version of a previous conference paper @@CITATION.	paper 		A-subj	unknown
As a first contribution, we have extended and improved an urban traffic scenario already provided in the NetLogo @@CITATION distribution.	NetLogo 	an  urban  traffic  scenario 	A-subj	unknown
in (16) can be seen as a generalization of the formulation proposed by Gopalan et al. @@CITATION to a multi-carrier setting.	formulation 	 to  a  multi-carrier  setting	B-subj	unknown
By considering equations involving three palindromes, we obtain results in the spirit of the three squares lemma, which may be seen as extending the results of Paquin @@CITATION for Christoffel words.	results 	in  the  spirit  of  the  three  squares  lemma	A-subj	unknown
B. Main contributions This work extends the contribution in @@CITATION, where the problem was firstly stated and discussed.	contribution 		A-subj	unknown
The NWCCN is a variation of WCCN @@CITATION which makes use of the negative data from impostor speakers to estimate the expected within-class covariance matrix.	WCCN 	which  makes  use  of  the  negative  data  from  impostor  speakers  to  estimate  the  expected  within-class  covariance  matrix	A-subj	unknown
Some queries are improved by this method as reported in work@@CITATION and in our previous work [17].	queries 	queries 	B-subj	unknown
We have extended our previous stereo work found in @@CITATION, which accounted only for changes in gain with linear response, to take into account the recovered radiometric response function.	stereo  work 	to  take  into  account  the  recovered  radiometric  response  function	A-subj	unknown
To develop Evo-Lexis, we extend a previously proposed optimization framework, called Lexis @@CITATION, that was designed for structure discovery in sequential data.	Lexis 	that  was  designed  for  structure  discovery  in  sequential  data	A-subj	unknown
NEURALLY-IMPRINTED STABLE VECTOR FIELDS This section briefly introduces a technique to implement asymptotic stability into neural networks via sampling based on the recently published paper by Lemme et al. @@CITATION.	paper 	technique  to  implement  asymptotic  stability  into  neural  networks  via  sampling  based 	A-subj	unknown
Followup work @@CITATION summarized previous works and integrated PHATT with a constraint reasoning module for parametrized actions and temporal constraints.	works 	integrated  PHATT  with  a  constraint  reasoning  module  for  parametrized  actions  and  temporal  constraints	A-subj	unknown
