text	object	context	role	section
Rosenthal @@CITATION first proposed a framework of congestion games, which is a special case of potential games [18] where the existence of a pure-strategy Nash equilibrium is guaranteed.	framework  of  congestion  games		B-subj	method
.@@CITATION proposed an even more multifaceted approach, using a multi-theoretical multi-level (MTML) model, for explaining the various motivations for the existence of social connections in a network.	multifaceted  approach		B-subj	method
Continuous-time recurrent neural networks (CTRNNs) are a class of neural networks introduced into the field of evolutionary robotics by @@CITATION but in use previously in the field of neuroscience.	Continuous-time  recurrent  neural  networks  (CTRNNs) 		B-subj	abstract
Kiritchenko et al. @@CITATION presented a supervised statistical text classification approach leveraging a variety of sentiment features derived from high-coverage tweet-specific sentiment lexicons.	supervised  statistical  text  classification  approach 		B-subj	related work
Smith et al. present a tracking algorithm using extended Kalman filtering of ultrasonic range data gathered from “Cricket” devices @@CITATION.	tracking  algorithm 		B-subj	introduction
Akbarinia et al. @@CITATION presented top-k query algorithms in Distributed Hash Tables (DHTs) based on their specific data storage mechanism.	top-k  query  algorithms  in  Distributed  Hash  Tables  (DHTs) 		B-subj	method
This “step-size control” approach was proposed in @@CITATION for the purpose of regulating OLA sizes on the route reply phase of an OLA-based reactive routing scheme.	“step-size  control”  approach 		B-subj	method
Data-centric processes : Multiple models for datacentric processes have been proposed in different lines of work such as Declarative Networking @@CITATION , Collaborative Workflows CIT , Webdamlog CIT , and others .	 Declarative  Networking 		B-subj	method
Cootes et al. proposed an Active Appearance Model (AAM) @@CITATION that represented a face image by subspace-projected parameters of facial shape and texture.	Active  Appearance  Model  (AAM) 		B-subj	method
Barsoum et al. @@CITATION proposed a multi-copy PDP scheme for static files, where the client generates t distinct copies of the file by encrypting the file under t different keys.	 multi-copy  PDP  scheme  for  static  files		B-subj	keywords
Although there is no known closed-form expression for V ’ s probability distribution function ( PDF ) , some accurate estimates of this distribution have been proposed in the literature , e.g. , @@CITATION .	accurate  estimates  of  this  distribution 		B-subj	unknown
The relational model was first introduced in the seminal work by Codd @@CITATION.	model 		B-subj	unknown
HYBRID DIFFERENTIAL EVOLUTION A. Differential evolution Differential evolution (DE) is a relatively new global optimisation method, introduced by Storn and Price in @@CITATION.	Differential  evolution 	global optimisation  method	B-subj	unknown
Delaluz et al. @@CITATION proposed a compiler-directed approach to cluster the data across memory banks, detect memory module idleness and insert power-state transition instructions into a program by offline profiling.	compiler-directed  approach 	 to  cluster  the  data  across  memory  banks,  detect  memory  module  idleness  and  insert  power-state  transition  instructions  into  a  program  by  offline  profiling	B-subj	unknown
Some trust-based approaches such as @@CITATION, Paolo Massa and Paolo Avesani proposed a trust-aware recommender system.	trust-based  approaches 	trust-based  approaches 	B-subj	unknown
This issue has been addressed by AbellÃ³ et al. @@CITATION by introducing a number of relationships that can be used to navigate between different data marts of the same data warehouse.	relationships 	that  can  be  used  to  navigate  between  different  data  marts  of  the  same  data  warehouse	B-subj	unknown
6 The integration tool The various techniques described in the previous sections have been implemented in an interactive tool called DaWaII (Data Warehouse IntegratIon) that has been presented as a demo in @@CITATION.	interactive  tool  called  DaWaII 		B-subj	unknown
An optimal fusion rule was proposed in @@CITATION.	fusion  rule 		B-subj	unknown
An estimation technique of these two parameters was presented in @@CITATION, but it needs long training sequences and responds slowly to time varying environment.	estimation  technique 	it  needs  long  training  sequences  and  responds  slowly  to  time  varying  environment	B-subj	unknown
Other implementation techniques have been proposed for dealing with uncertainty in logic programming, for instance translation into Disjunctive Stable Models @@CITATION, but rely on the properties of specific truth-value domains.	implementation  techniques 	for  dealing  with  uncertainty  in  logic  programming	B-subj	unknown
Anisotropic diffusion was proposed in the context of scale space @@CITATION.	Anisotropic  diffusion 	in  the  context  of  scale  space 	B-subj	unknown
Kojima et al @@CITATION propose an approach to generate a natural language descriptions of human behavior from real video images.	approach 	to  generate  a  natural  language  descriptions  of  human  behavior  from  real  video  images	B-subj	unknown
Seitz and Dyer @@CITATION proposed an affine view-invariant trajectory matching method to analyze cyclic motion.	view-invariant  trajectory  matching  method 	to  analyze  cyclic  motion	B-subj	unknown
Davis et al @@CITATION proposed a motion recognition method by fitting sinusoidal model.	motion  recognition  method 	 by  fitting  sinusoidal  model	B-subj	unknown
Yacoob and Black @@CITATION proposed a method for modeling and recognizing activities.	method 	for  modeling  and  recognizing  activities	B-subj	unknown
Wei @@CITATION proposed an algorithm for filling holes that starts with a hole identification phase and then applies a triangulation of the hole region using the Advancing Front Method.	algorithm 	for  filling  holes  that  starts  with  a  hole  identification  phase  and  then  applies  a  triangulation  of  the  hole  region  using  the  Advancing  Front  Method	B-subj	unknown
2.3 Handling of Unknown Words Currently, the method of handling unknown words that seems to work best for inflected languages is a suffix analysis as proposed in (@@CITATION).	suffix  analysis 	is  a  suffix  analysis 	B-subj	unknown
The breakthrough in integer transforms designing was lifting introduced by I. Daubechies and W. Sweldens @@CITATION.	integer  transforms  designing 		B-subj	unknown
Factorization of complex multiplications is based on the method presented in @@CITATION.	method 	of  complex  multiplications 	B-subj	unknown
This choice has been inspired by the 3-Hand Manipulation technique which has been introduced in @@CITATION.	3-Hand  Manipulation 		B-subj	unknown
The Reconfigurable Tangible Device The Reconfigurable Tangible Device (RTD) has been introduced in @@CITATION.	Reconfigurable  Tangible  Device  (RTD) 		B-subj	unknown
Subjective Ratings We recall here the subjective results that have already been presented in @@CITATION.	results 		B-subj	unknown
Two-Handed Object Manipulation Several 3D interaction techniques have been proposed to manipulate virtual objects with the two hands of a single user @@CITATION.	3D  interaction 	to  manipulate  virtual  objects  with  the  two  hands  of  a  single  user 	B-subj	unknown
Several low resolution ADCs are presented in @@CITATION, [17], [18] and one such solution could be implemented with the digital control loop for a single chip solution.	low  resolution  ADC	digital  control  loop  for  a  single  chip  solution	B-subj	unknown
This syntactic approximation of locality was proposed in @@CITATION and provides a basis for most of the modern modularity algorithms [3].	syntactic  approximation  of  locality 	provides  a  basis  for  most  of  the  modern  modularity  algorithms 	B-subj	unknown
Precision compared to the Fletch full type safety system The â€œfull type safetyâ€ system proposed by Ernst et al. @@CITATION is another approach to sound type checking for Dart.	â€œfull  type  safetyâ€system 	to  sound  type  checking  for  Dart	B-subj	unknown
These observations are added into the BA introduced in @@CITATION to constrain the 3D points of the object.	BA 	 to  constrain  the  3D  points  of  the  object	B-subj	unknown
A model with counters which can be incremented and reset in the same way as in R-automata, called B-automata, is presented in @@CITATION.	B-automata	model  with  counters  which  can  be  incremented  and  reset  in  the  same  way  as  in  R-automata	B-subj	unknown
Some early approaches include the implication models introduced in @@CITATION and [13].	implication  models 		B-subj	unknown
CFE-BASED UNCERTAIN IMPLICATIONS A new method for reasoning with uncertain evidence is introduced in @@CITATION.	method 	for  reasoning  with  uncertain  evidence 	B-subj	unknown
To model this behavior, various approaches were proposed such as centersurround operation [16] or graph based activation maps @@CITATION.	graph  based  activation  maps 		B-subj	unknown
The practical DSL scheme proposed in @@CITATION only requires the primary system to broadcast the values of I0 and Q0.	DSL  scheme 	requires  the  primary  system  to  broadcast  the  values  of  I0  and  Q0	B-subj	unknown
A cooperative scheme in which secondary users actively collaborate with the primary user transmissions was proposed in @@CITATION.	cooperative  scheme 	in  which  secondary  users  actively  collaborate  with  the  primary  user  transmissions 	B-subj	unknown
Other solutions @@CITATIONâ€“[6] propose hierarchical SDN controllers which offload computation that does not require network-wide view to local controllers running on (or close to) the switches.	hierarchical  SDN  controllers 	which  offload  computation  that  does  not  require  network-wide  view  to  local  controllers  running  on  (or  close  to)  the  switches	B-subj	unknown
To diminish the effect of brightness reduction from the image center to the borders due to the sensor optics, all images were empirically corrected using the vignette correction algorithm proposed by Zheng et al. @@CITATION.	vignette  correction  algorithm 	To  diminish  the  effect  of  brightness  reduction  from  the  image  center  to  the  borders  due  to  the  sensor  optics	B-subj	unknown
Turk and Banks introduced an image-based technique to create images with an even density of streamlines by lowpass filtering the image generated and optimizing streamline placement to reduce variation in the image @@CITATION.	image-based  technique 	to  create  images  with  an  even  density  of  streamlines  by  lowpass  filtering  the  image  generated  and  optimizing  streamline  placement  to  reduce  variation  in  the  image 	B-subj	unknown
Ray et al. [11] and Kalberer et al. @@CITATION proposed two globally smooth parameterization methods for arbitrary surfaces, which can be naturally applied in tracing the curve network.	parameterization  methods 	which  can  be  naturally  applied  in  tracing  the  curve  network	B-subj	unknown
Dialogue agents as introduced in @@CITATION decide about the next action based on the dialogue state distribution given by the tracker.	Dialogue  agents 	decide  about  the  next  action  based  on  the  dialogue  state  distribution  given  by  the  tracker	B-subj	unknown
Such an approach was proposed in @@CITATION.	approach 		B-subj	unknown
In the original approach presented in @@CITATION, each auxiliary objective is selected just once and is optimized for the same number of iterations.	approach 		B-subj	unknown
This notion has been introduced in Schmalfuss @@CITATION.	notion 		B-subj	unknown
Rankjoin was first proposed by Ilyas et al. @@CITATION to produce top-k join tuples in a relational database.	Rankjoin 	to  produce  top-k  join  tuples  in  a  relational  database.	B-subj	unknown
"5 A list of n-best suggestions is standard approach for presenting candidate corrections for misspellings (@@CITATION; Mitton, 2008)."	approach 	approach for  presenting  candidate  corrections  for  misspellings  	B-subj	unknown
Multiplication of ranks has been proposed as an aggregation procedure by @@CITATION, 2008).	aggregation  procedure 	 an  aggregation  procedure 	B-subj	unknown
"Two more optimization variants were introduced in @@CITATION; we describe their decision versions below."	optimization 		B-subj	unknown
Graph Motif was introduced by Lacroix et al. @@CITATION and motivated by applications in bioinformatics, specifically in metabolic network analysis.	Graph  Motif 	by  applications  in  bioinformatics	B-subj	unknown
2.2 Preliminaries on branching walks The concept of branching walks was first introduced by Nederlof @@CITATION to sieve for Steiner trees.	branching  walks 	to  sieve  for  Steiner  trees	B-subj	unknown
As part of their NORPLAN framework, Farid and Mitropoulos propose requirements quality metrics for non-functional requirements @@CITATION.	requirements  quality  metrics 	for  non-functional  requirements 	B-subj	unknown
Gomez, Rueda and Alarcon propose a conceptual method for identifying dependencies between User Stories, relying on the data entities that stories refer to @@CITATION.	data  entities 	conceptual  method  for  identifying  dependencies  between  User  Stories	B-subj	unknown
Patel and Ramachandran propose the Story Card Maturity Model, a CMM-based process improvement model for story cards and their key process areas @@CITATION.	CMM-based  process  improvement  model 	a  CMM-based  process for  story  cards  and  their  key  process  areas 	B-subj	unknown
3.1.5 Problem-oriented In line with the problem specification principle proposed by Zave and Jackson @@CITATION, a user story should only specify the problem.	problem  specification  principle 	user  story  should  only  specify  the  problem	B-subj	unknown
The Ising channel, on the other hand, was introduced as an information theory problem by Berger and Bonomi in 1990 @@CITATION.	 Ising  channel	information  theory  problem  by  Berger  and  Bonomi 	B-subj	unknown
One can also use the mapping presented in @@CITATION.	mapping 		B-subj	unknown
This transformation allows us to apply the same reasoning process introduced in @@CITATION even in the presence of conditional goals, decompositions and contributions.	reasoning  process 	even  in  the  presence  of  conditional  goals,  decompositions  and  contributions	B-subj	unknown
To address this problem, there are works proposing a system based on the use of SC tools that allow projects to evolve dynamically with the possible changes in the scenarios over time @@CITATION.	system 	allow  projects  to  evolve  dynamically  with  the  possible  changes  in  the  scenarios  over  time  	B-subj	unknown
For instance, outdoors, the City of London introduced a system for data collection in its transportation system including buses, subways and trains @@CITATION.	system 	transportation  system  including  buses,  subways  and  trains 	B-subj	unknown
Cintra and Llanos @@CITATION proposed a run-time system that performs eager memory management where each speculative operation checks if misspeculation occurred and updates the non-speculative memory directly when there is no misspeculation.	run-time  system 	performs  eager  memory  management  where  each  speculative  operation  checks  if  misspeculation  occurred  and  updates  the  non-speculative  memory  directly 	B-subj	unknown
Mehrara et al. @@CITATION enable dynamic speculative parallelization of Javascript programs by proposing ultra-lightweight software speculation mechanism.	ultra-lightweight  software  speculation  mechanism	dynamic  speculative  parallelization  of  Javascript  programs 	B-subj	unknown
Talbot et al. present Riposte @@CITATION, a runtime system that is able to dynamically discover and extract sequences of vector operations from arbitrary R code.	Riposte 	a  runtime  system  that  is  able  to  dynamically  discover  and  extract  sequences  of  vector  operations  from  arbitrary  R  code	B-subj	unknown
To support speculation in conjunction with pipelined parallelization, a run-time system called MultiThreaded Transactions (MTXs) @@CITATION has been proposed.	MultiThreaded  Transactions  (MTXs) 	To  support  speculation  in  conjunction  with  pipelined  parallelization	B-subj	unknown
DPE, as a GNSS positioning alternative, was proposed in @@CITATION.	DPE	as  a  GNSS  positioning  alternative	B-subj	unknown
Agarwal et al. @@CITATION proposed a Monte Carlo algorithm for this task.	Monte  Carlo  algorithm 	for  this  task	B-subj	unknown
2.1 Probabilistic Relevance Feedback (PRF) This is the term relevance weighting formula proposed by Robertson and Sparck Jones in @@CITATION.	term  relevance  weighting  formula 		B-subj	unknown
Clements and Felleisen @@CITATION present a properly tail-call optimized semantics for stack inspection based 168 M.S.	tail-call  optimized  semantics 	for  stack  inspection 	B-subj	unknown
Wallach et al. @@CITATION present a semantics for stack inspection based on a belief logic.	semantics  for  stack  inspection 	based  on  a  belief  logic	B-subj	unknown
An analytical method for computing a precise initial estimate for both the LIDARâ€™s intrinsic parameters and the 3D LIDARcamera transformation is presented in @@CITATION.	method 	for  computing  a  precise  initial  estimate  for  both  the  LIDARâ€™s  intrinsic  parameters  and  the  3D  LIDARcamera  transformation 	B-subj	unknown
Further, the authors in @@CITATION present a mutual information based algorithm for automatic extrinsic calibration of a 3D LIDAR-camera system without the need for any specific calibration target.	mutual  information  based  algorithm 	for  automatic  extrinsic  calibration  of  a  3D  LIDAR-camera  system  without  the  need  for  any  specific  calibration  target	B-subj	unknown
One of the earliest methods presented in @@CITATION is based on the constraints between different views of a planar calibration pattern from the camera and the LRF.	methods 	is  based  on  the  constraints  between  different  views  of  a  planar  calibration  pattern  from  the  camera  and  the  LRF	B-subj	unknown
Naroditsky et al. presented a solution using this technique in @@CITATION.	solution 		B-subj	unknown
The work described in @@CITATION, presents an approach only requiring the observation of a scene corner (orthogonal trihedron) commonly found in any human-made environment.	approach 	only  requiring  the  observation  of  a  scene  corner  (orthogonal  trihedron) 	B-subj	unknown
In 1982, Siegel proposed the RM estimator with a high breakdown point of 50% (@@CITATION).	RM  estimator 	with  a  high  breakdown  point  of  50% 	B-subj	unknown
MOTIVATION Several distributed SDN controller architectures have been proposed @@CITATION to reduce the likelihood of controller overload and minimize the impact of controller failures.	SDN  controller  architectures 	to  reduce  the  likelihood  of  controller  overload  and  minimize  the  impact  of  controller  failures	B-subj	unknown
The authors leveraged the PCK-Means algorithm proposed by Basu, Banerjee and Mooney @@CITATION for clustering, and the pairwise constraints were incorporated into the k-means algorithm as a penalty in the cluster assignment state.	PCK-Means  algorithm 	for  clustering,  and  the  pairwise  constraints  were  incorporated  into  the  k-means  algorithm  as  a  penalty  in  the  cluster  assignment  state	B-subj	unknown
Our approach was primarily inspired by the method proposed by Xing et al. @@CITATION.	method 		B-subj	unknown
